,name,name_ru
1,Nickel+Severonikel,Никель+Североникель
2,Norilsk,Норильск
3,Kostomuksha,Костомукша
4,Severodvinsk,Северодвинск
5,Serov,Серов
6,Krasnouralsk,Красноуральск
7,Kirovograd,Кировград
8,Reftinskaya,Рефтинская
9,Middle-Ural,СУМЗ (Ревда)
10,Ufaleynikel,Верхний Уфалей
11,Moscow,Москва
12,Karabash,Карабаш
13,Ufa,Уфа
14,Ryazan,Рязань
15,Ryazanskaja,Рязанская ГРЭС
16,Novokuznetsk,Новокузнецк
17,Magnitogorsk,Магнитогорск
18,Novokuybshevsk,Новокуйбышевск
19,Lipetsk,Липецк
20,Angarsk,Ангарск
21,Orenburg,Оренбург
22,Mednogorsk,Медногорск
23,Orsk,Орск
24,Novocherkassk,Новочеркасск
25,Astrakhan,Астрахань
26,Perm,Пермь
27,Yaroslavl,Ярославль
28,Troitsk,Троицк
29,Cherepovetskaya,Череповец
30,Omsk,Омск
